,kolomnaam,aantalkeer
0,beoordeling,230
1,afzender,179
2,ontvanger,173
3,datum,145
4,nr,107
5,wob,77
6,document,71
7,artikelwob,51
8,nummer,49
9,onderwerp,48
10,documentnaam,46
11,soort,42
12,tijd,42
13,weigeringsgrond,41
14,volgnummer,41
15,titeldocument,39
16,datumdocument,38
17,beslissingconform,38
18,tevindenop,34
19,docnr,34
20,soortdocument,28
21,vindplaatsreedsopenbarestukken,28
22,titeldoc,27
23,toelichting,26
24,id,24
25,bow,23
26,102e,22
27,documentnr,22
28,regnavtno,21
29,mutad,20
30,prewredno,20
31,rednezfa,20
32,remmun,19
33,102g,17
34,geheel,17
35,deels,17
36,niet,17
37,naamdocument,14
38,gniledrooeb,14
39,beroordeling,12
40,tnemtruocoosd,12
41,102d,11
42,reedsopenbaar,10
43,weigeringsgronden,10
44,titel,9
45,vindplaats,8
46,openbaar,8
47,opmerkingen,8
48,wobgrond,8
49,verstrekkingogvdewob,7
50,101d,7
51,deelsopenbaar,6
52,11,6
53,docnrdatumtiteldocbeoordelingweigeringsgrondtoelichtingid,6
54,grond,6
55,gnelidrooeb,6
56,bijlage,6
57,opmerking,5
58,van,5
59,omschrijving,5
60,documenten,5
61,tijdstip,5
62,nrletter,5
63,uitzonderingsgrond,4
64,artikel,4
65,categorie,4
66,101c,4
67,belanghebbende,4
68,zjwd,4
69,vnejretsnimi,4
70,soortstuk,4
71,map,4
72,mapnr,4
73,procesinfo,4
74,1,3
75,111,3
76,wobartikel,3
77,naam,3
78,ermmun,3
79,muatd,3
80,perwerdno,3
81,gnelidoroeb,3
82,erdnezaf,3
83,ergnavnto,3
84,oordeel,3
85,ontvangers,3
86,docnriddatumtiteldocbeoordelingweigeringsgrondtoelichting,3
87,aan,3
88,dubbel,3
89,nekaanezevschaterimimaministeconoenkli,3
90,tnemrtuocoosd,3
91,doc,2
92,102c,2
93,naar,2
94,procesinformatie,2
95,ortmentouscod,2
96,uitzonderings,2
97,dubbelmet,2
98,beoordelingwob,2
99,email,2
100,tnertumocoosd,2
101,organisatie,2
102,afzenderviceversa,2
103,ontvangerviceversa,2
104,weigeringsgrondwob,2
105,lnv,2
106,aangetroffendocumenten,2
107,wobuitzonderingsgrondenenofvindplaatsen,2
108,iszwformat,2
109,datumentijd,2
110,documentnummer,2
111,documentsoort,2
112,minienwnl,2
113,9424510,1
114,juridischevormgevingmaatregelen15metersamenleving,1
115,15420201200amutc,1
116,dwjz,1
117,ministervanjenvdbodwjz,1
118,102e102gbuitenverzoek,1
119,30,1
120,20200425voorbereidingcatshuisinputreflectiesessievandccaanm,1
121,nietopenbaar,1
122,eu,1
123,mapnrenmapnaam,1
124,reedsopenbaarreedsbesloten,1
125,productiehuis,1
126,belanghebbenden,1
127,naa,1
128,tcaprlpzjwd,1
129,vtcn,1
130,cdzjwdvmtocncdkzmbo,1
131,20,1
132,pensioenreglementvoorbedrijvenvoortaxivervoerenaanverwanteactiviteitenbijdestichtingbedrijfstakpensioenfondsvoorhetberoepsvervoeroverdeweg,1
133,volgnummeriddocumentnaamdocumentdatumafzenderontvangerbeoordelingbeoordelingsgrond,1
134,mijnopmerkingen,1
135,openbaarmaking,1
136,tnemucodtroos,1
137,volgnummeridnummerdocumentnaamdocumentdatumafzenderontvangerbeoordelingbeoordelingsgrond,1
138,docn,1
139,rdatum,1
140,volgnumm1,1
141,id40554,1
142,typemsg,1
143,documentnaamrewobverzoek,1
144,datum3520201223,1
145,beoordelingdeelsopenbaar,1
146,wob102e,1
147,afzenderwobverzoeker202046ienw,1
148,ontvangerwobverzoeker202046ienw,1
149,notadd8juli2015metonderwerplivoverlegmetwiebes9juli1715metkenmerk20150000170436,1
150,artikel10lid2aanhefenonderewob,1
151,19,1
152,verklaringslachtoffer,1
153,artikel10lid1aanhefenonderdwobartikel10lid2aanhefenonderewob,1
154,onderwerpinhouddocument,1
155,afz,1
156,beoordelingvoorlopig,1
157,inventarislijstwobverzoekbothends,1
158,ccijeti0ug,1
159,0cijcijic0,1
160,ijlceii00cij10,1
161,ji,1
162,cijcijijlicctacijncêi0,1
163,365sv,1
164,tntermoouscod,1
165,type,1
166,kolom1,1
167,kolom2,1
168,kolom3,1
169,kolom4,1
170,kolom5,1
171,kolom6,1
172,kolom7,1
173,kolom8,1
174,titelomschrijving,1
175,wobbeoordeling,1
176,beoordelingentoegepastewobgronden,1
177,codering,1
178,lakgrond,1
179,afwegingihkvdewob,1
180,negnikrempo,1
181,numm,1
182,deartum,1
183,171,1
184,2752020,1
185,verspreidingverslagoverlegcrisisteam27meiaaninspectiejenv,1
186,gedeeltelijk,1
187,tnemucod,1
188,volgnummerdocumentnaamdocumentdatumbeoordelingaflakgrondontvangerafzender,1
189,bz,1
190,typedocument,1
191,relevantewobgronden,1
192,betrokkenpartij1,1
193,betrokkenpartij2,1
194,documentnummercorresponderendmetbestredenbesluit,1
195,dictum,1
196,tevindenopopmerking,1
197,volgnudatumiddocumentnaambeoordelingbeoordelingsgrondafzenderontvanger,1
198,opmerkingenvindplaatsreedsopenbarestukken,1
199,intervnr,1
200,rapportnr,1
201,andernr,1
202,inventarisatielijst,1
203,dossier04190039001,1
204,emailberichtenbijdepartementgeïnventariseerd,1
205,verzoek,1
206,weggelakt,1
207,grondslag,1
208,32,1
209,9112018,1
210,kamerstuk,1
211,dierenwelzijnbriefvandeministervanlandbouwnatuurenvoedselkwaliteit,1
212,91020121412,1
213,notitie,1
214,klantcontacttopdeskgreendeal,1
215,102e102g,1
216,rvo,1
217,fastned,1
218,documenttype,1
219,letteraanduidingweigeringsgrond,1
220,04,1
221,gedeeltelijkopenbaar,1
222,deelsdubbelmetpg,1
223,status,1
224,titelaangepasteinventarislijstbeslissingopbezwaarvkgroeischiphol,1
225,beoordelaar,1
226,deelsdubbel,1
227,reedsbeslistbijwobbesluittrcnvwa20206149,1
228,deelsdubbelreedsopenbaar,1
229,111concepten,1
230,ntemucodortos,1
231,inspectiedatum,1
232,verstrekkingogvwob,1
233,uitzonderingsgrondenwob,1
234,idnr,1
235,opermerkingen,1
236,datumevent,1
237,themaonderwerpvanhetevent,1
238,typeeventtrainingworkshopseminar,1
239,doelgroepmedewerkersleidinggevendenanders,1
240,uitvoerder,1
241,maan,1
242,riecheaatesmministnominklioeeecnplnkepaaavz,1
243,emails,1
244,volgnummerdocumentnaamdatumbeoordelingaflakgrond,1
245,soortdocum,1
246,docnummerdocnaambeoordelingweigeringsgrond,1
247,onderdeel,1
248,nummertotaal,1
249,docnummerdocnaambeoordelingwoblakgrond1,1
250,emaildd2522010conceptdocumentvoordeac,1
251,bijlages,1
252,clausule,1
253,ontvangercc,1
254,diversecorrespondentietussendocumentengedeeldmet,1
255,documenttitel,1
256,wobgronden,1
257,afzenders,1
258,opmerkingenaanopmerkingenvanbeleidbeleid,1
259,812015,1
260,wobweigeringsgronden,1
261,152890,1
262,8420211313,1
263,reconcepttekstivmwobverzoeken2020101103,1
264,documentsoortonderwerpdatumbeoordelingartikelwobtevindenbijopafzenderontvanger,1
265,101djo102e,1
266,idnummer,1
267,opmerkingenvoorbeleid,1
268,afkomstigvan,1
