,WOB Verzoek,Onderwerp,Datum van binnenkomst,Datum van antwoord,"Aantal dagen 
in behandeling","Binnen de 
termijn afgehandeld",Omvang document (aantal pagina's),Volledig verstrekte documenten,Deels verstrekte documenten,Niet verstrekte documenten,"Aantal overwogen 
documenten","Aantal dagen nodig 
gehad per document",Soort aanvraag,Bijzonderheden,URL,Ministerie
0,4,Aankoop en financiering landgoed Stakenberg te Elspeet door LNV,2021-10-07,2021-10-29,22,Ja,4.0,,,,0.0,,Verzoek om informatie over de aankoop en financiering landgoed Stakenberg te Elspeet door LNV,Verzoek afgewezen omdat er geen relevante documenten  zijn aangetroffen bij het ministerie,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/10/29/besluit-op-wob-verzoek-over-de-aankoop-en-financiering-landgoed-stakenberg-te-elspeet-door-lnv,LNV
1,54,Adviezen CITES WA/NL voor de soort Galago senegalensis,2021-06-30,2021-07-21,21,Ja,4.0,,,,0.0,,Verzoek om informatie over de adviezen van CITES WA/NL voor de soort Galago senegalensis over de periode 2014 tot heden,Verzoek afgewezen omdat er geen relevante documenten  zijn aangetroffen bij het ministerie,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/07/21/besluit-wob-verzoek-over-adviezen-cites-wa-nl,LNV
2,51,CITES-adviezen Viverra civettina,2021-06-30,2021-07-23,23,Ja,4.0,,,,0.0,,Verzoek om informatie over alle adviezen van de Wetenschappelijke Autoriteit CITES over de soort Viverra civettina in de periode 2014 tot en met 2021,Verzoek afgewezen omdat er geen relevante documenten  zijn aangetroffen bij het ministerie,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/07/23/besluit-wob-verzoek-cites-adviezen-viverra-civettina,LNV
3,52,CITES-adviezen voor Paradoxurus hermafroditus,2021-06-30,2021-07-23,23,Ja,4.0,,,,0.0,,Verzoek om informatie over adviezen van Wetenschappelijke Autoriteit (WA) CITES NL voor de soort Paradoxurus hermafroditus,Verzoek afgewezen omdat er geen relevante documenten  zijn aangetroffen bij het ministerie,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/07/23/besluit-op-wob-verzoek-over-cites-adviezen-voor-paradoxurus-hermafroditus,LNV
4,39,Correspondentie over Uroplatus alluaudi,2021-06-27,2021-08-20,54,Ja,4.0,,,,0.0,,Verzoek om alle correspondentie van het CITES bureau met de CITES managementautoriteiten van andere lidstaten en andere partijstaten over de Uroplatus alluaudi vanaf 2005,Verzoek afgewezen omdat er geen relevante documenten  zijn aangetroffen bij het ministerie,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/08/20/besluit-wob-verzoek-correspondentie-over-uroplatus-alluaudi,LNV
5,68,CITES WA advies over Trioceros Deremensis,2021-06-19,2021-06-30,11,Ja,4.0,,,,0.0,,Verzoek om informatie over CITES WA advies ten aanzien van Trioceros Deremensis,Verzoek afgewezen omdat er geen relevante documenten  zijn aangetroffen bij het ministerie,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/06/30/besluit-op-wob-verzoek-over-cites-wa-advies-trioceros-deremensis,LNV
6,73,CITES-adviezen Shinisaurus Crocodilurus,2021-06-17,2021-06-25,8,Ja,4.0,,,,0.0,,Verzoek om informatie over alle adviezen van de Wetenschappelijke Autoriteit CITES over de soort Shinisaurus Crocodilurus (Chinese krokodilstaarthagedis) in de periode 2000 tot en met 2021,Verzoek afgewezen omdat er geen relevante documenten  zijn aangetroffen bij het ministerie,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/06/25/besluit-op-wob-verzoek-over-cites-adviezen-shinisaurus-crocodilurus,LNV
7,36,Onderzoeken visteelt,2021-06-09,2021-08-27,79,Nee,4.0,,,,0.0,,Verzoek om informatie over onderzoeken (LEI-rapport 2010-25) naar aanleiding van het stoppen van viskwekers met hun onderneming,Verzoek afgewezen omdat er geen relevante documenten  zijn aangetroffen bij het ministerie,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/08/27/besluit-op-wob-verzoek-over-onderzoeken-visteelt,LNV
8,80,Varkensrechten voor een locatie te Haren,2021-05-06,2021-06-17,42,Ja,4.0,,,,0.0,,Verzoek om informatie over varkensrechten voor een locatie te Haren,Verzoek afgewezen omdat er geen relevante documenten  zijn aangetroffen bij het ministerie,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/06/17/besluit-op-wob-verzoek-over-varkensrechten-voor-een-locatie-te-haren,LNV
9,78,Financiering criminele narcoticapraktijken met landbouwsubsidies,2021-04-14,2021-06-18,65,Nee,4.0,,,,0.0,,"Verzoek om informatie over ""financiering van criminele narcotica praktijken met landbouwsubsidies""",Verzoek afgewezen omdat er geen relevante documenten  zijn aangetroffen bij het ministerie,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/06/18/besluit-wob-verzoek-financiering-criminele-narcoticapraktijken-met-landbouwsubsidies,LNV
10,92,Vermeende overtredingen van geschiktheidseisen,2021-03-05,2021-05-28,84,Nee,4.0,1 excelsheet,,,1.0,84.0,"Verzoek om informatie over overzicht van de hoeveelheid 'Rapporten van bevindingen', 'Voornemens tot boeteopleggingen' en 'Boetebeschikkingen' met betrekking tot vermeende overtredingen van de geschiktheidseisen van Bijiage I, Hoofdstuk I, onder 1 t/m 3 van de Verordening (EG) nr. 1/2005 vanaf 1 januari 2018 t/m 4 maart 2021",,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/05/28/besluit-op-wob-verzoek-over-vermeende-overtredingen-van-de-geschiktheidseisen,LNV
11,104,Wegenbouwbitumenzaak uit 2006,2021-03-03,2021-05-17,75,Nee,4.0,,,,0.0,,Verzoek om informatie over de wegenbouwbitumenzaak uit 2006,Verzoek afgewezen omdat er geen relevante documenten  zijn aangetroffen bij het ministerie,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/05/17/besluit-op-wob-verzoek-over-wegenbouwbitumenzaak-uit-2006,LNV
12,115,Rechtmatig vissen,2020-12-18,2021-04-12,115,Nee,4.0,,1 vergunning,,1.0,115.0,Verzoek om informatie waaruit blijkt dat er rechtmatig is gevist,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/04/12/besluit-op-wob-verzoek-over-rechtmatig-vissen,LNV
13,218,Invoerbestanden emissieberekeningen,2020-11-12,2020-11-26,14,Ja,4.0,,1 overzicht,,1.0,14.0,Verzoek om informatie over invoerbestanden emissieberekeningen,"Het openbaargemaakte document is niet bijgevoegd bij 
het besluit",https://www.rijksoverheid.nl/documenten/wob-verzoeken/2020/11/26/besluit-op-wob-verzoek-over-invoerbestanden-emissieberekeningen,LNV
14,221,Vakbekwaamheidseis voor houder van dieren,2020-11-09,2020-11-24,15,Ja,4.0,,,,0.0,,Verzoek om informatie over vakbekwaamheidseis voor een houder van dieren,Verzoek afgewezen omdat er geen relevante documenten  zijn aangetroffen bij het ministerie,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2020/11/24/wob-besluit-inzake-verzoek-om-vakbekwaamheidseis-voor-houder-van-dieren,LNV
15,223,Vernietiging schoenen pythonleer,2020-10-30,2020-11-19,20,Ja,4.0,,,,0.0,,Verzoek om informatie over de vernietiging van 118 paar in beslag genomen schoenen van pythonleer,Verzoek afgewezen omdat er geen relevante documenten  zijn aangetroffen bij het ministerie,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2020/11/19/besluit-op-wob-verzoek-over-vernietiging-schoenen-pythonleer,LNV
16,167,Informatie over een mountainbike route in de Schoorlse Duinen,2020-10-30,2021-02-09,102,Nee,4.0,,,,0.0,,Verzoek om informatie over een mountainbike route in de Schoorlse Duinen,Verzoek afgewezen omdat er geen relevante documenten  zijn aangetroffen bij het ministerie,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/02/09/besluit-wob-verzoek-om-informatie-over-een-mountainbike-route-in-de-schoorlse-duinen,LNV
