,link,titel,intro,datum,verantwoordelijk,pdfs
0,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/11/29/besluit-op-wob-verzoek-over-het-ontslag-van-staatssecretaris-keijzer,Besluit op Wob-verzoek ontslag van staatssecretaris Keijzer,Besluit op een verzoek om informatie over het ontslag van staatssecretaris Keijzer. Het verzoek is gedaan op basis van de Wet openbaarheid van bestuur (Wob).,2021/11/29,Ministerie van Algemene Zaken,"['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/11/29/besluit-op-wob-verzoek-over-het-ontslag-van-staatssecretaris-keijzer/Wob-besluit+ontslag+van+staatssecretaris+Keijzer.pdf', 'https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/11/29/besluit-op-wob-verzoek-over-het-ontslag-van-staatssecretaris-keijzer/bijlage+Wob-besluit+ontslag+van+staatssecretaris+Keijzer.pdf']"
1,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/11/29/besluit-op-wob-verzoek-over-het-vertrek-van-minister-van-nieuwenhuizen,Besluit op Wob-verzoek over het vertrek van minister Van Nieuwenhuizen,Besluit op een verzoek om informatie over het vertrek van minister Van Nieuwenhuizen. Het verzoek is gedaan op basis van de Wet openbaarheid van bestuur (Wob).,2021/11/29,Ministerie van Algemene Zaken,"['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/11/29/besluit-op-wob-verzoek-over-het-vertrek-van-minister-van-nieuwenhuizen/besluit+op+Wob-verzoek+over+het+vertrek+van+minister+Van+Nieuwenhuizen.pdf', 'https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/11/29/besluit-op-wob-verzoek-over-het-vertrek-van-minister-van-nieuwenhuizen/bijlage+besluit+op+Wob-verzoek+over+het+vertrek+van+minister+Van+Nieuwenhuizen.pdf']"
2,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/11/25/besluit-op-wob-verzoek-over-agendas-en-verslagen-van-crc,Besluit op Wob-verzoek over agenda's en verslagen van CRC,Besluit op een Wob-verzoek om de agenda's en de verslagen van de Commissie Rijksoverheidscommunicatie (CRC). Het verzoek is gedaan op basis van de Wet openbaarheid van bestuur (Wob).,2021/11/25,Ministerie van Algemene Zaken,"['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/11/25/besluit-op-wob-verzoek-over-agendas-en-verslagen-van-crc/Besluit+op+Wob-verzoek+over+de+agenda%27s+en+de+verslagen+van+de+CRC.pdf', 'https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/11/25/besluit-op-wob-verzoek-over-agendas-en-verslagen-van-crc/CRC+agenda+en+verslag+2018.pdf', 'https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/11/25/besluit-op-wob-verzoek-over-agendas-en-verslagen-van-crc/CRC+agenda+en+verslag+2019.pdf', 'https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/11/25/besluit-op-wob-verzoek-over-agendas-en-verslagen-van-crc/CRC+agenda+en+verslag+2020.pdf', 'https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/11/25/besluit-op-wob-verzoek-over-agendas-en-verslagen-van-crc/CRC+agenda+en+verslag+2021.pdf']"
3,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/11/25/besluit-op-wob-verzoek-over-benoeming-en-ontslag-bewindspersonen-2021,Besluit op Wob-verzoek over benoeming en ontslag bewindspersonen 2021,Besluit op een verzoek om informatie over benoemingen en ontslag (voordrachten) van bewindspersonen in 2021. Het verzoek is gedaan op basis van de Wet openbaarheid van bestuur (Wob).,2021/11/25,Ministerie van Algemene Zaken,['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/11/25/besluit-op-wob-verzoek-over-benoeming-en-ontslag-bewindspersonen-2021/Besluit+op+Wob-verzoek+over+benoeming+en+ontslag+bewindspersonen+2021.pdf']
4,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/11/12/besluit-op-wob-verzoek-over-de-teruggave-overdracht-nederland-na-wo-ii-en-benoeming-kabinet,Besluit op Wob-verzoek over de teruggave/overdracht Nederland na WO II en benoeming kabinet,Besluit op een verzoek om informatie over de teruggave/overdracht Nederland na WO II en benoeming kabinet. Het verzoek is gedaan op basis van de Wet openbaarheid van bestuur (Wob).,2021/11/12,Ministerie van Algemene Zaken,['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/11/12/besluit-op-wob-verzoek-over-de-teruggave-overdracht-nederland-na-wo-ii-en-benoeming-kabinet/Wob-besluit+over++de+teruggave+van+de+troon.pdf']
5,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/11/12/besluit-op-wob-verzoek-over-de-troon,Besluit op Wob-verzoek over de troon,Besluit op een verzoek om informatie over de troon. Het verzoek is gedaan op basis van de Wet openbaarheid van bestuur (Wob).,2021/11/12,Ministerie van Algemene Zaken,['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/11/12/besluit-op-wob-verzoek-over-de-troon/Wob-besluit+over+de+troon.pdf']
6,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/10/27/besluit-op-wob-verzoek-over-het-woordvoerdersoverleg,Besluit op Wob-verzoek over het woordvoerdersoverleg,Besluit op een verzoek om informatie over het woordvoerdersoverleg. Het verzoek is gedaan op basis van de Wet openbaarheid van bestuur (Wob).,2021/10/27,Ministerie van Algemene Zaken,"['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/10/27/besluit-op-wob-verzoek-over-het-woordvoerdersoverleg/Besluit+op+Wob-verzoek+over+het+woordvoerdersoverleg.pdf', 'https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/10/27/besluit-op-wob-verzoek-over-het-woordvoerdersoverleg/Bijlagen+bij+Wob-verzoek+over+woordvoerdersoverleg.pdf']"
7,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/10/15/beslissing-op-bezwaar-wob-verzoek-notulen-ministerraad-over-kinderopvangtoeslag,Beslissing op bezwaar Wob-verzoek notulen ministerraad over kinderopvangtoeslag,Beslissing op een bezwaar tegen het besluit op een verzoek om documenten over de kinderopvangtoeslagaffaire. Het gaat om een verzoek op basis van de Wet openbaarheid van bestuur (Wob).,2021/10/15,Ministerie van Algemene Zaken,['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/10/15/beslissing-op-bezwaar-wob-verzoek-notulen-ministerraad-over-kinderopvangtoeslag/Beslissing+op+bezwaar+notulen+ministerraad+over+kinderopvangtoeslag.pdf']
8,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/10/14/besluit-op-wob-verzoek-over-benoeming-personen-in-een-demissionair-kabinet,Besluit op Wob-verzoek over benoeming personen in een demissionair kabinet,Besluit op een verzoek om informatie over de benoeming van personen in het demissionair kabinet. Het verzoek is gedaan op basis van de Wet openbaarheid van bestuur (Wob).,2021/10/14,Ministerie van Algemene Zaken,['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/10/14/besluit-op-wob-verzoek-over-benoeming-personen-in-een-demissionair-kabinet/wob-besluit-benoeming-personen-in-demissionair-kabinet.pdf']
9,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/09/28/besluit-op-wob-verzoek-over-afschrift-van-brief-aan-voorzitter-europees-parlement,Besluit op Wob-verzoek over afschrift van brief aan voorzitter Europees Parlement,Besluit op een verzoek om informatie over een brief aan de voorzitter van het Europees Parlement. Het verzoek is gedaan op basis van de Wet openbaarheid van bestuur (Wob).,2021/09/28,Ministerie van Algemene Zaken,"['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/09/28/besluit-op-wob-verzoek-over-afschrift-van-brief-aan-voorzitter-europees-parlement/besluit-op-wob-verzoek-afschrift-brief-aan-voorzitter-europees-parlement.pdf', 'https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/09/28/besluit-op-wob-verzoek-over-afschrift-van-brief-aan-voorzitter-europees-parlement/bijlage-wob-besluit-over-afschrift-brief-aan-voorzitter-europees-parlement.pdf']"
