,kolomnaam,aantalkeer
0,nr,260
1,naamdocument,245
2,weigeringsgrond,236
3,beoordeling,233
4,afzender,185
5,ontvanger,180
6,datum,178
7,soort,71
8,tijd,33
9,tevindenop,30
10,vindplaatsreedsopenbarestukken,26
11,102e,25
12,toelichting,20
13,geheel,17
14,deels,17
15,niet,17
16,102g,16
17,102d,11
18,reedsopenbaar,10
19,tnemtruocoosd,10
20,vindplaats,8
21,verstrekkingogvdewob,7
22,101d,7
23,11,6
24,openbaar,6
25,bijlage,6
26,docnrdatumtiteldocbeoordelingweigeringsgrondtoelichtingid,5
27,deelsopenbaar,5
28,documenten,5
29,opmerkingen,5
30,tijdstip,5
31,nrletter,5
32,101c,4
33,belanghebbende,4
34,opmerking,4
35,map,4
36,gnelidrooeb,4
37,omschrijving,4
38,mapnr,4
39,procesinfo,4
40,111,3
41,ermmun,3
42,muatd,3
43,perwerdno,3
44,gnelidoroeb,3
45,erdnezaf,3
46,ergnavnto,3
47,docnriddatumtiteldocbeoordelingweigeringsgrondtoelichting,3
48,dubbel,3
49,nekaanezevschaterimimaministeconoenkli,3
50,tnemrtuocoosd,3
51,102c,2
52,ortmentouscod,2
53,uitzonderings,2
54,dubbelmet,2
55,lnv,2
56,1,2
57,aangetroffendocumenten,2
58,wobuitzonderingsgrondenenofvindplaatsen,2
59,iszwformat,2
60,datumentijd,2
61,aan,2
62,documentnummer,2
63,documentsoort,2
64,minienwnl,2
65,eu,1
66,mapnrenmapnaam,1
67,doc,1
68,reedsopenbaarreedsbesloten,1
69,productiehuis,1
70,belanghebbenden,1
71,20,1
72,pensioenreglementvoorbedrijvenvoortaxivervoerenaanverwanteactiviteitenbijdestichtingbedrijfstakpensioenfondsvoorhetberoepsvervoeroverdeweg,1
73,notadd8juli2015metonderwerplivoverlegmetwiebes9juli1715metkenmerk20150000170436,1
74,artikel10lid2aanhefenonderewob,1
75,19,1
76,verklaringslachtoffer,1
77,artikel10lid1aanhefenonderdwobartikel10lid2aanhefenonderewob,1
78,onderwerpinhouddocument,1
79,afz,1
80,beoordelingvoorlopig,1
81,inventarislijstwobverzoekbothends,1
82,ccijeti0ug,1
83,0cijcijic0,1
84,ijlceii00cij10,1
85,ji,1
86,cijcijijlicctacijncêi0,1
87,365sv,1
88,tntermoouscod,1
89,kolom1,1
90,kolom2,1
91,kolom3,1
92,kolom4,1
93,kolom5,1
94,kolom6,1
95,kolom7,1
96,kolom8,1
97,titelomschrijving,1
98,wobbeoordeling,1
99,beoordelingentoegepastewobgronden,1
100,codering,1
101,afwegingihkvdewob,1
102,tnertumocoosd,1
103,volgnummerdocumentnaamdocumentdatumbeoordelingaflakgrondontvangerafzender,1
104,bz,1
105,betrokkenpartij1,1
106,betrokkenpartij2,1
107,tevindenopopmerking,1
108,volgnudatumiddocumentnaambeoordelingbeoordelingsgrondafzenderontvanger,1
109,opmerkingenvindplaatsreedsopenbarestukken,1
110,intervnr,1
111,rapportnr,1
112,andernr,1
113,inventarisatielijst,1
114,dossier04190039001,1
115,emailberichtenbijdepartementgeïnventariseerd,1
116,verzoek,1
117,weggelakt,1
118,grondslag,1
119,32,1
120,9112018,1
121,kamerstuk,1
122,dierenwelzijnbriefvandeministervanlandbouwnatuurenvoedselkwaliteit,1
123,91020121412,1
124,notitie,1
125,klantcontacttopdeskgreendeal,1
126,102e102g,1
127,rvo,1
128,fastned,1
129,letteraanduidingweigeringsgrond,1
130,04,1
131,gedeeltelijkopenbaar,1
132,deelsdubbelmetpg,1
133,status,1
134,titelaangepasteinventarislijstbeslissingopbezwaarvkgroeischiphol,1
135,beoordelaar,1
136,deelsdubbel,1
137,reedsbeslistbijwobbesluittrcnvwa20206149,1
138,deelsdubbelreedsopenbaar,1
139,organisatie,1
140,afzenderviceversa,1
141,ontvangerviceversa,1
142,111concepten,1
143,procesinformatie,1
144,ntemucodortos,1
145,inspectiedatum,1
146,verstrekkingogvwob,1
147,uitzonderingsgrondenwob,1
148,idnr,1
149,opermerkingen,1
150,datumevent,1
151,themaonderwerpvanhetevent,1
152,typeeventtrainingworkshopseminar,1
153,doelgroepmedewerkersleidinggevendenanders,1
154,uitvoerder,1
155,riecheaatesmministnominklioeeecnplnkepaaavz,1
156,emails,1
157,volgnummerdocumentnaamdatumbeoordelingaflakgrond,1
158,soortdocum,1
159,docnummerdocnaambeoordelingweigeringsgrond,1
160,onderdeel,1
161,nummertotaal,1
162,docnummerdocnaambeoordelingwoblakgrond1,1
163,emaildd2522010conceptdocumentvoordeac,1
164,bijlages,1
165,clausule,1
166,ontvangercc,1
167,diversecorrespondentietussendocumentengedeeldmet,1
168,documenttitel,1
169,wobgronden,1
170,opmerkingenaanopmerkingenvanbeleidbeleid,1
171,812015,1
172,wobweigeringsgronden,1
173,152890,1
174,email,1
175,8420211313,1
176,reconcepttekstivmwobverzoeken2020101103,1
177,documentsoortonderwerpdatumbeoordelingartikelwobtevindenbijopafzenderontvanger,1
178,101djo102e,1
179,idnummer,1
180,opmerkingenvoorbeleid,1
181,afkomstigvan,1
